restaurant_id,name
5169,Beastie
5285,Beauty in The Pot
2447,Beef Express Bangna
3181,Beef Express Muangthong Nonthaburi
3881,Beef Express The Circle Ratchapruek
2252,Beef Express Yothinpattana 3
6162,Beer Collection
6583,Beer Pradith
5250,Begin Again
5959,Behind Bars
4384,Bella Sera at Sofitel Bangkok Sukhumvit Hotel
1487,Benares Modern Indian Cuisine Bangkok
2169,Benihana Grand Mercure Bangkok Atrium
1905,Benihana JW Marriott (Phuket)
3367,Benihana at Avani Resort (Pattaya)
1582,Benihana at Riverside Plaza
4518,Benjarong Bangkok at Baan Dusit Thani
4103,Benjarong Hotel Bangkok Staycation
4588,Best Beef MinBuri
4583,Best Beef Sukhumvit (On Nut)
4587,Best Beef Sukhumvit 71
6673,Best Western Plus Nexen Staycation (Pattaya)
6184,Big Bite Burger BKK
6606,Big Fish Siam At Siam (Pattaya)
5545,Bigbeef Premium Halal Buffet
3834,Bikuta Sushi & Teppan (Chonburi)
3833,Bikuta Sushi & Teppan Rama 2
4878,Biscay at Best Western Plus Carapace Hotel (Hua Hin)
2190,Biscotti Anantara Siam Bangkok Hotel
5809,Bistro M - Marriott Sukhumvit 101
5802,Bistro M - Marriott Sukhumvit 50
875,"Bistro M at Marriott Executive Apartments Sukhumvit Park, Bangkok"
3643,Bistro Montmartre at Ascott Sathorn Bangkok
3571,Bistro Palette
3324,Bite Restaurant & Gallery (Phuket)
3723,Bittersweet Mövenpick BDMS Wellness Resort
5819,Black Cherry 
5278,Blackheath Bistro
6576,Blackyard Roast & Brew
4531,Bloom Café & Garden Lounge at Floral Court Hotel
6206,Blue Elephant Sathorn
6207,Blue Elephant Sukhumvit
4382,Blue Parrot Bangkok
1159,Blue Sky Rooftop Bar Centara Grand at Central Plaza Ladprao
2959,BlueSpice Grande Centre Point Sukhumvit 55
6488,Blueraybar Rooftop 
6244,Boat Seafood (Phuket)
4148,Bodegas Wine
5840,Bodhi Terrace at Anantara Chiang Mai Resort
5429,Bombay 2 Beirut
4574,Bond Street Bar Café
5738,Bone Apple Tea Bistro 
