restaurant_id,name,scraped_city,confidence,matched_keyword,source,search_query,source_text,error
4388,Fufu Shabu Empire Tower,,error,,google_places_api,Fufu Shabu Empire Tower restaurant,,Google Places status PERMISSION_DENIED: The caller does not have permission
2536,Giorgio's Riverside Royal Orchid Sheraton Hotel,Bangkok,medium,Riverside,restaurant_name,,Giorgio's Riverside Royal Orchid Sheraton Hotel,
5410,Glai Hwor,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 1095/8 Khwaeng Lat Krabang, Khet Lat Krabang, Krung Thep Maha Nakhon 10520, Thailand ร้านไกลหวอ / Glai Hwor restaurant",
5688,Glare Eatery & Bar,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 92-1 Krung Thon Buri Road, Khwaeng Bang Lamphu Lang, Khet Khlong San, Krung Thep Maha Nakhon 10600, Thailand GLARE EATERY & BAR",
6308,Gluttony by The Sin,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 616 อารียา เดอะพาที 11 Lat Pla Khao Rd, Khwaeng Chorakhe Bua, Khet Lat Phrao, Krung Thep Maha Nakhon 10230, Thailand Gluttony by the Sin",
5178,Fuku Intown Charoen Nakhon,,error,,google_places_api,Fuku Intown Charoen Nakhon restaurant,,Google Places status PERMISSION_DENIED: The caller does not have permission
5654,Gogilang,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 2030 Banthat Thong Rd, Khwaeng Wang Mai, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand Gogilang โกกิลัง 고기랑",
6625,Goji Kitchen Grill & Bar at Pattaya Marriott Resort and Spa (Pattaya),Pattaya,high,Pattaya,restaurant_name,,Goji Kitchen Grill & Bar at Pattaya Marriott Resort and Spa (Pattaya),
5224,Garlic,,error,,google_places_api,Garlic restaurant,,Google Places status PERMISSION_DENIED: The caller does not have permission
5751,Golden Peony At Conrad Singapore Marina Bay,Singapore,high,Singapore,restaurant_name,,Golden Peony At Conrad Singapore Marina Bay,
5004,Golden State Vegan,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 3rd Floor RR Space, Soi Sukhumvit 33, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand Golden State Vegan Restaurant",
5212,Golden Village Chinese At Hyatt Regency Bangkok Suvarnabhumi Airport,Bangkok,high,Bangkok,restaurant_name,,Golden Village Chinese At Hyatt Regency Bangkok Suvarnabhumi Airport,
5702,Gogida,,error,,google_places_api,Gogida restaurant,,Google Places status PERMISSION_DENIED: The caller does not have permission
3198,Ginprik,,error,,google_places_api,Ginprik restaurant,,Google Places status PERMISSION_DENIED: The caller does not have permission
6384,Goodie Steak @ Bang Phlat,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 107 Khwaeng Bang Bumru, Khet Bang Phlat, Krung Thep Maha Nakhon 10700, Thailand Goodie Steak กู๊ดดี้ สเต๊ก บางพลัด",
6383,Goodie Steak @ Fai Chai – Phran Nok,Bangkok,medium,phran nok,restaurant_name,,Goodie Steak @ Fai Chai – Phran Nok,
6382,Goodie Steak @ Wutthakat,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," บ้านเลขที่​ 49 ถนนวุฒากา​ศ Khwaeng Bang Kho, Khet Chom Thong, Krung Thep Maha Nakhon 10150, Thailand GOODIE​ STEAK​ กู๊ดดี้​สเต๊ก​ วุฒากาศ​",
5006,Got to Grill,Bangkok,high,Bangkok,places_api_existing_output,," ร้าน Got to Grill เลข ที่ 44 โครงการ The Kurve7 ชั้น 2 ห้อง ถนน กรุงเทพกรีฑา, 3 ซอย กรุงเทพกรีฑา 7, แขวงหัวหมาก บางกะปิ, Bangkok 10240, Thailand Got to Grill Halal",
4922,Gotoku by Shabu King,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 59 หมู่ 2 ถนนบรมราชชนนี Khwaeng Sala Thammasop, Khet Thawi Watthana, Krung Thep Maha Nakhon 10170, Thailand GOTOKU",
2820,Grand Mercure Bangkok Atrium Staycation,Bangkok,high,Bangkok,restaurant_name,,Grand Mercure Bangkok Atrium Staycation,
5524,Gravity 87 Rooftop Lounge At Ramada Bangkok Sukhumvit 87,Bangkok,high,Bangkok,restaurant_name,,Gravity 87 Rooftop Lounge At Ramada Bangkok Sukhumvit 87,
3005,Great Harbour International Buffet,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," ICONSIAM ชั้นที่ 6 ห้องเลขที่ 629, 299 Charoen Nakhon Rd, Khwaeng Khlong Ton Sai, Khet Khlong San, Krung Thep Maha Nakhon 10600, Thailand Great Harbour International Buffet",
2770,Great&Grand Sweet Destination (Pattaya),Pattaya,high,Pattaya,restaurant_name,,Great&Grand Sweet Destination (Pattaya),
4834,Green House Bistro,Singapore,high,Singapore,places_api_existing_output,,"Singapore 30 Tuas Bay Dr, #01-00, Singapore 637548 Greenhouse Bistro",
4770,Greenhouse Congee & Noodles by Landmark,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," Nihonmura Mall, 13 Soi Thong Lo, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand Greenhouse Congee & Noodles by Landmark",
1003,Greenhouse Restaurant Avani Sukhumvit Bangkok,Bangkok,high,Bangkok,restaurant_name,,Greenhouse Restaurant Avani Sukhumvit Bangkok,
5177,Golden Bowl at K Village,,error,,google_places_api,Golden Bowl at K Village restaurant,,Google Places status PERMISSION_DENIED: The caller does not have permission
5562,Grok 1970,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 14 Soi Somkid, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand Grok 1970 Thai Restaurant (โกรก 1970 - ร้านอาหารไทย)",
5710,Gui Phan Khwai,Bangkok,medium,phan khwai,restaurant_name,,Gui Phan Khwai,
5709,Gui Ratchayo,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 1426 Phahon Yothin Road, Khwaeng Chan Kasem, Khet Chatuchak, Krung Thep Maha Nakhon 10900, Thailand กุ๊ย รัชโย ( Gui Ratchayo )",
3377,Guilty Anantara Siam Bangkok,Bangkok,high,Bangkok,restaurant_name,,Guilty Anantara Siam Bangkok,
5693,Gusto Bangna,Bangkok,medium,Bangna,restaurant_name,,Gusto Bangna,
5105,Guzadrift Izakaya,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 49/1 ถนนปัญญาอินทรา แขวงบางชัน เขตคลองสามวา กรุงเทพมหานคร 10510 บางชัน Khwaeng Sam Wa Tawan Tok, Khet Khlong Sam Wa, Krung Thep Maha Nakhon 10510, Thailand Guza Drift izakaya/ ร้าน อาหาร ญี่ปุ่น กุซ่าดริฟฟ อิซากายะ สาขาซาฟารีเวิลด์",
5082,Gyu En Siam Yakiniku,Bangkok,medium,Siam,restaurant_name,,Gyu En Siam Yakiniku,
5941,Gyu-Ya Yakiniku Rama 3,Bangkok,medium,Rama 3,restaurant_name,,Gyu-Ya Yakiniku Rama 3,
