Ad name,Delivery status,Delivery level,Reach,Impressions,Frequency,Result type,Results,Amount spent (THB),Cost per result,Starts,Ends,Rest ID ,Rest 2,Rest 3,Rest 4,Rest 5
Hong Kong Traveller_Flavors at Renaissance,inactive,ad,4408,7011,1.59051724,Website purchases,7,569.19,81.31285714,10/02/2025,,~,,,,
Taiwan Traveller_JW cafe,inactive,ad,5280,10703,2.02708333,Website purchases,6,878.53,146.4216667,10/02/2025,,~,,,,
Taiwan Traveller_Oishi Grand,inactive,ad,6780,12070,1.78023599,Website purchases,4,773.56,193.39,10/02/2025,,~,,,,
Hong Kong Traveller_Whale Klang Krung,not_delivering,ad,1700,3422,2.01294118,Website purchases,4,749.67,187.4175,10/02/2025,,~,,,,
Malaysia Traveller_ad_FB - Vantage Point,inactive,ad,27422,33273,1.21336883,Website purchases,4,640.3,160.075,10/02/2025,,~,,,,
Taiwan Traveller_Gentle Butcher,not_delivering,ad,2711,4262,1.57211361,Website purchases,4,286.11,71.5275,10/02/2025,,~,,,,
Taiwan Traveller_Saffron Contemporary Thai Signature Rooftop,not_delivering,ad,4882,9952,2.03850881,Website purchases,3,777.64,259.2133333,10/02/2025,,~,,,,
Taiwan Traveller_Flavors at Renaissance,inactive,ad,5184,8158,1.57368827,Website purchases,3,454.9,151.6333333,10/02/2025,,~,,,,
Malaysia Traveller_ad_FB - About Beef,inactive,ad,47971,68668,1.43144817,Website purchases,2,1950.4,975.2,10/02/2025,,~,,,,
Singapore Traveller_ad_IG - About Beef,inactive,ad,10552,17865,1.69304397,Website purchases,1,2826.28,2826.28,10/02/2025,,~,,,,
Taiwan Traveller_vertigo rooftop,inactive,ad,5806,9946,1.71305546,Website purchases,1,774.31,774.31,10/02/2025,,~,,,,
Hong Kong Traveller_ad_FB - Dark Waters Rooftop,inactive,ad,2538,3389,1.33530339,Website purchases,1,402.22,402.22,10/02/2025,,~,,,,
Hong Kong Traveller_Oishi Grand,inactive,ad,1290,2042,1.58294574,Website purchases,1,368.62,368.62,10/02/2025,,~,,,,
Malaysia Traveller_ad_FB - Dark Waters Rooftop,inactive,ad,16006,18202,1.13719855,Website purchases,1,353.21,353.21,10/02/2025,,~,,,,
Hong Kong Traveller_Atrium @Landmark Hotel,not_delivering,ad,493,714,1.44827586,Website purchases,1,135.99,135.99,10/02/2025,,~,,,,
Singapore Traveller_ad_FB - About Beef,inactive,ad,2313,6005,2.59619542,,,1296.02,,10/02/2025,,~,,,,
Taiwan Traveller_Atrium @Landmark Hotel,not_delivering,ad,2507,3751,1.49621061,,,266.96,,10/02/2025,,~,,,,
Singapore Traveller_Dark Waters Rooftop,inactive,ad,1075,1278,1.18883721,,,206.5,,10/02/2025,,~,,,,
Taiwan Traveller_Vertigo TOO,inactive,ad,1026,1906,1.85769981,,,200.07,,10/02/2025,,~,,,,
Singapore Traveller_ad_IG - Vantage Point,inactive,ad,1040,1236,1.18846154,,,161.8,,10/02/2025,,~,,,,
Singapore Traveller_Bubble in the forest,inactive,ad,595,765,1.28571429,,,136.6,,10/02/2025,,~,,,,
Taiwan Traveller_Butcher Factory,inactive,ad,1491,2171,1.45606975,,,111.51,,10/02/2025,,~,,,,
Taiwan Traveller_Bubble in the forest,inactive,ad,1305,1459,1.11800766,,,91.1,,10/02/2025,,~,,,,
Singapore Traveller_ad_FB - Vantage Point,inactive,ad,220,290,1.31818182,,,42.57,,10/02/2025,,~,,,,
Singapore Traveller_ad_FB - Dark Waters Rooftop,inactive,ad,170,227,1.33529412,,,40.49,,10/02/2025,,~,,,,
Hong Kong Traveller_Gentle Butcher,inactive,ad,93,141,1.51612903,,,36.27,,10/02/2025,,~,,,,
Singapore Traveller_Fallabella,inactive,ad,135,166,1.22962963,,,35.02,,10/02/2025,,~,,,,
Hong Kong Traveller_Butcher Factory,inactive,ad,191,219,1.14659686,,,28.14,,10/02/2025,,~,,,,
Singapore Traveller_Saffron Contemporary Thai Signature Rooftop - Copy,inactive,ad,101,148,1.46534653,,,27.52,,10/02/2025,,~,,,,
album_hh_res_3854_suan-bua-centara-grand-ladprao-bangkok,inactive,ad,16670,24184,1.45074985,Website purchases,49,648.07,13.22591837,17/02/2025,26/02/2025,3854,,,,
Promotion_come4pay3,inactive,ad,21887,37397,1.70863983,Website purchases,49,1615.46,32.96857143,17/02/2025,23/02/2025,,,,,
kol-fd_hh-snh_res_3854_suan-bua-centara-grand-ladprao-bangkok,inactive,ad,4348,7651,1.75965961,Website purchases,25,299.18,11.9672,17/02/2025,26/02/2025,3854,,,,
kol-fd_hh-ucd_res_3854_suan-bua-centara-grand-ladprao-bangkok,inactive,ad,2493,2944,1.18090654,Website purchases,1,52.56,52.56,17/02/2025,26/02/2025,3854,,,,
kol-fd_hh-ott_res_5428_shoko-omakase-bangkok,inactive,ad,34025,70737,2.07897134,Website purchases,109,1913.77,17.55752294,18/02/2025,09/04/2025,5428,,,,
kol-fd_hh-kmg_res_5427_501-home-cook-bangkok,inactive,ad,38256,85730,2.24095567,Website purchases,96,1851.16,19.28291667,18/02/2025,09/03/2025,,,,,
kol-fd_hh-dmpk_res_3596_deja-brew-lifestyle-cafe-at-centara-life-hotel-bangkok-phra-nakhon,inactive,ad,19571,30812,1.57437024,Website purchases,41,1195.3,29.15365854,18/02/2025,28/02/2025,3596,,,,
album_hh_res_4302_zaap-classic-emquartier-bangkok,inactive,ad,25599,38860,1.51802805,Website purchases,31,978.36,31.56,18/02/2025,27/02/2025,4302,,,,
kol-ls_hh-gpm_res_3596_deja-brew-lifestyle-cafe-at-centara-life-hotel-bangkok-phra-nakhon,inactive,ad,6436,11340,1.76196395,Website purchases,9,649.88,72.20888889,18/02/2025,28/02/2025,3596,,,,
album_hh_res_5428_shoko-omakase-bangkok,inactive,ad,10204,15174,1.4870639,Website purchases,9,500.06,55.56222222,18/02/2025,09/04/2025,5428,,,,
album_hh_res_3596_deja-brew-lifestyle-cafe-at-centara-life-hotel-bangkok-phra-nakhon,inactive,ad,5504,6000,1.09011628,Website purchases,6,154.82,25.80333333,18/02/2025,28/02/2025,3596,,,,
kol-fd_hh-kmg_res_5428_shoko-omakase-bangkok,inactive,ad,1507,2059,1.36629064,Website purchases,6,66.05,11.00833333,18/02/2025,09/04/2025,5428,,,,
kol-ls_hh-mlt_res_5427_501-home-cook-bangkok,inactive,ad,3309,5156,1.55817468,Website purchases,3,140.23,46.74333333,18/02/2025,09/03/2025,,,,,
kol-fd_hh-cvtp_brn_4302_zaap-classic-emquartier-bangkok,inactive,ad,525,607,1.15619048,Website purchases,2,21.64,10.82,18/02/2025,27/02/2025,4302,,,,
album_hh_res_5427_501-home-cook-bangkok,inactive,ad,252,299,1.18650794,Website purchases,1,8.02,8.02,18/02/2025,09/03/2025,5427,,,,
album_hh_res_5428_shoko-omakase-bangkok,inactive,ad,728,853,1.1717033,,,20.01,,18/02/2025,09/04/2025,5428,,,,
kol-tv_hh-hht_res_3649_chatuchak-cafe-centara-grand-at-central-plaza-ladprao-bangkok,inactive,ad,21065,53182,2.52466176,Website purchases,70,1829.67,26.13814286,20/02/2025,11/03/2025,3649,,,,
album_hh_res_5089_elder-and-better-bangkok,inactive,ad,20144,34589,1.71708697,Website purchases,51,999.52,19.59843137,20/02/2025,01/03/2025,5089,,,,
album_hh_res_3649_chatuchak-cafe-centara-grand-at-central-plaza-ladprao-bangkok,inactive,ad,30685,49529,1.61411113,Website purchases,39,1113.64,28.55487179,20/02/2025,11/03/2025,3649,,,,
kol-fd_hh-pyb_res_3649_chatuchak-cafe-centara-grand-at-central-plaza-ladprao-bangkok,inactive,ad,1520,1985,1.30592105,Website purchases,1,56.69,56.69,20/02/2025,11/03/2025,3649,,,,
kol-ls_hh-gpm_brn_5290_jubang-premium-aged-bbq-bangkhunnon-bangkok,inactive,ad,31815,76038,2.39000471,Website purchases,123,2369.57,19.26479675,21/02/2025,31/05/2025,5290,,,,
album_hh_brn_5290_jubang-premium-aged-bbq,inactive,ad,29979,62464,2.08359185,Website purchases,47,1860.43,39.58361702,21/02/2025,31/05/2025,5290,,,,
kol-fd_hh-cnlv_res_5304_san-aroi-pochana-bangkok,inactive,ad,14680,33771,2.30047684,Website purchases,39,1154.28,29.59692308,24/02/2025,14/03/2025,5304,,,,
album_hh_res_5304_san-aroi-pochana-bangkok,inactive,ad,12389,20513,1.655743,Website purchases,29,653.83,22.54586207,24/02/2025,14/03/2025,5304,,,,
kol-fd_hh-ucd_res_5304_san-aroi-pochana-bangkok,inactive,ad,3737,6465,1.72999732,Website purchases,7,191.89,27.41285714,24/02/2025,14/03/2025,5304,,,,
America Traveller_About Beef,inactive,ad,43174,118547,2.74579608,Website purchases,104,32238.31,309.98375,26/02/2025,,~,,,,
America Traveller_Copper buffet,inactive,ad,7850,23045,2.93566879,Website purchases,49,8269,168.755102,26/02/2025,,~,,,,
England Traveller_Nama Buffet,inactive,ad,32220,68428,2.12377405,Website purchases,38,21308.72,560.7557895,26/02/2025,,~,,,,
America Traveller_57th Street,inactive,ad,20678,59120,2.85907728,Website purchases,37,15890.13,429.462973,26/02/2025,,57,,,,
America Traveller_celadon,inactive,ad,8308,22511,2.70955705,Website purchases,33,7157.99,216.9087879,26/02/2025,,~,,,,
England Traveller_About Beef,inactive,ad,18852,54851,2.90955867,Website purchases,25,10156.7,406.268,26/02/2025,,~,,,,
England Traveller_Copper buffet,inactive,ad,12650,36121,2.85541502,Website purchases,20,8134.71,406.7355,26/02/2025,,~,,,,
England Traveller_celadon,inactive,ad,10141,25712,2.53545015,Website purchases,20,5781.44,289.072,26/02/2025,,~,,,,
England Traveller_Khaan,inactive,ad,4562,10234,2.24331434,Website purchases,17,1974.65,116.1558824,26/02/2025,,~,,,,
England Traveller_vertigo rooftop,inactive,ad,13458,33946,2.52236588,Website purchases,16,7977.4,498.5875,26/02/2025,,~,,,,
America Traveller_Na klongwan,inactive,ad,1917,4982,2.59885237,Website purchases,13,2082.58,160.1984615,26/02/2025,,~,,,,
America Traveller_Saffron Cruise,inactive,ad,2536,6974,2.75,Website purchases,13,1846.89,142.0684615,26/02/2025,,~,,,,
England Traveller_Bubble in the forest,inactive,ad,11507,19822,1.72260363,Website purchases,11,3286.77,298.7972727,26/02/2025,,~,,,,
America Traveller_Dark Waters Rooftop,inactive,ad,5717,7319,1.2802169,Website purchases,11,1767.66,160.6963636,26/02/2025,,~,,,,
America Traveller_Bubble in the forest,inactive,ad,9587,15317,1.59768436,Website purchases,9,3948.42,438.7133333,26/02/2025,,~,,,,
America Traveller_the seafood cafe,inactive,ad,2381,5950,2.49895002,Website purchases,8,2035.12,254.39,26/02/2025,,~,,,,
America Traveller_Khao Wireless Rd.,inactive,ad,3822,6362,1.66457352,Website purchases,8,1935.7,241.9625,26/02/2025,,~,,,,
America Traveller_Durian Festival 2025,inactive,ad,2616,7714,2.94877676,Website purchases,7,2114.94,302.1342857,26/02/2025,,2025,,,,
England Traveller_Durian Festival 2025,inactive,ad,3340,8109,2.42784431,Website purchases,7,1635.93,233.7042857,26/02/2025,,2025,,,,
England Traveller_Myste,inactive,ad,6546,11179,1.70776046,Website purchases,6,2538.8,423.1333333,26/02/2025,,~,,,,
England Traveller_Na klongwan,inactive,ad,3364,8147,2.42181926,Website purchases,6,2035.93,339.3216667,26/02/2025,,~,,,,
America Traveller_Mojjo Rooftop Lounge & Bar,inactive,ad,887,2578,2.90642616,Website purchases,6,708.23,118.0383333,26/02/2025,,~,,,,
England Traveller_57th Street,inactive,ad,2291,5092,2.22261021,Website purchases,4,925.11,231.2775,26/02/2025,,57,,,,
America Traveller_Momono Omakase,inactive,ad,1578,2782,1.76299113,Website purchases,4,931.02,232.755,26/02/2025,,~,,,,
England Traveller_Fallabella,inactive,ad,3003,5218,1.73759574,Website purchases,4,894.18,223.545,26/02/2025,,~,,,,
America Traveller_ThreeSixty Rooftop Bar,inactive,ad,516,968,1.87596899,Website purchases,4,268.19,67.0475,26/02/2025,,~,,,,
America Traveller_Kam's Roast,inactive,ad,2662,6163,2.31517656,Website purchases,3,1860.39,620.13,26/02/2025,,~,,,,
America Traveller_great harbour,inactive,ad,2101,4916,2.33983817,Website purchases,3,1332.52,444.1733333,26/02/2025,,~,,,,
England Traveller_RedSquare Rooftop Bar,inactive,ad,2011,3349,1.66534063,Website purchases,3,590.4,196.8,26/02/2025,,~,,,,
England Traveller_Gentle Butcher,inactive,ad,3444,5600,1.62601626,Website purchases,2,659.01,329.505,26/02/2025,,~,,,,
America Traveller_Nama Buffet,inactive,ad,645,1305,2.02325581,Website purchases,2,454.62,227.31,26/02/2025,,~,,,,
America Traveller_Oishi Grand,not_delivering,ad,515,890,1.72815534,Website purchases,2,349.66,174.83,26/02/2025,,~,,,,
America Traveller_vertigo rooftop,inactive,ad,705,1048,1.48652482,Website purchases,2,313.61,156.805,26/02/2025,,~,,,,
England Traveller_Saffron Cruise,inactive,ad,1861,3574,1.92047286,Website purchases,1,694.58,694.58,26/02/2025,,~,,,,
England Traveller_Bangkok Wonderland,inactive,ad,1376,3016,2.19186047,Website purchases,1,611.91,611.91,26/02/2025,,~,,,,
America Traveller_RedSquare Rooftop Bar,inactive,ad,895,1508,1.6849162,Website purchases,1,460.45,460.45,26/02/2025,,~,,,,
America Traveller_Vantage Point,inactive,ad,1069,1660,1.55285313,Website purchases,1,460.05,460.05,26/02/2025,,~,,,,
England Traveller_Oishi Grand,inactive,ad,580,787,1.35689655,Website purchases,1,193.75,193.75,26/02/2025,,~,,,,
England Traveller_Vantage Point,inactive,ad,963,1154,1.19833853,Website purchases,1,135.98,135.98,26/02/2025,,~,,,,
England Traveller_Hotaru 119 Omakase,inactive,ad,12,17,1.41666667,,,2.12,,26/02/2025,,119,,,,
England Traveller_the seafood cafe,inactive,ad,2115,3681,1.74042553,,,904.3,,26/02/2025,,~,,,,
America Traveller_Fallabella,inactive,ad,1777,2272,1.27855937,,,734.87,,26/02/2025,,~,,,,
America Traveller_Khaan,inactive,ad,741,969,1.30769231,,,338.58,,26/02/2025,,~,,,,
England Traveller_Dark Waters Rooftop,inactive,ad,1558,1862,1.19512195,,,301.41,,26/02/2025,,~,,,,
America Traveller_Whale Klang Krung,inactive,ad,282,550,1.95035461,,,252.1,,26/02/2025,,~,,,,
England Traveller_Khao Wireless Rd.,inactive,ad,829,991,1.19541616,,,215.96,,26/02/2025,,~,,,,
England Traveller_ThreeSixty Rooftop Bar,inactive,ad,463,693,1.49676026,,,132.15,,26/02/2025,,~,,,,
America Traveller_Myste,inactive,ad,269,319,1.18587361,,,124.53,,26/02/2025,,~,,,,
England Traveller_Butcher Factory,inactive,ad,372,603,1.62096774,,,120.47,,26/02/2025,,~,,,,
England Traveller_You&I buffet,inactive,ad,489,726,1.48466258,,,120,,26/02/2025,,~,,,,
England Traveller_Momono Omakase,inactive,ad,408,506,1.24019608,,,108.88,,26/02/2025,,~,,,,
England Traveller_Mojjo Rooftop Lounge & Bar,inactive,ad,522,686,1.31417625,,,98.04,,26/02/2025,,~,,,,
England Traveller_Whale Klang Krung,inactive,ad,157,210,1.33757962,,,66.38,,26/02/2025,,~,,,,
America Traveller_Atrium @Landmark Hotel,inactive,ad,54,66,1.22222222,,,28.39,,26/02/2025,,~,,,,
America Traveller_Butcher Factory,not_delivering,ad,29,38,1.31034483,,,23.61,,26/02/2025,,~,,,,
England Traveller_Atrium @Landmark Hotel,inactive,ad,91,118,1.2967033,,,22.98,,26/02/2025,,~,,,,
England Traveller_Kam's Roast,inactive,ad,64,72,1.125,,,21.57,,26/02/2025,,~,,,,
America Traveller_Tu Bar Rooftop at Sri Panwa (Phuket),inactive,ad,33,51,1.54545455,,,13.35,,26/02/2025,,~,,,,
America Traveller_Gentle Butcher,inactive,ad,22,36,1.63636364,,,13.09,,26/02/2025,,~,,,,
England Traveller_great harbour,inactive,ad,37,47,1.27027027,,,10.93,,26/02/2025,,~,,,,
America Traveller_Saneh Jaan,inactive,ad,17,19,1.11764706,,,9.48,,26/02/2025,,~,,,,
kol-fd_hh-gbm_res_5062_noomjad-bkk-bangkok,inactive,ad,89131,238011,2.67035038,Website purchases,217,3957.43,18.23700461,28/02/2025,31/05/2025,5062,,,,
kol-fd_hh-hmrp_brn_875_bistro-m-at-marriott-executive-apartments-sukhumvit-park-bangkok,inactive,ad,26001,69897,2.68824276,Website purchases,162,1930.21,11.91487654,28/02/2025,18/03/2025,875,,,,
album_hh_res_5062_noomjad-bkk-bangkok,inactive,ad,6915,8740,1.26391902,Website purchases,20,258.57,12.9285,28/02/2025,31/05/2025,5062,,,,
kol-fd_hh-kjt_res_4834_bistro-m-at-marriott-executive-apartments-sukhumvit-park-bangkok,inactive,ad,1675,2527,1.50865672,Website purchases,5,63.52,12.704,28/02/2025,18/03/2025,4834,,,,
album_hh_brn_875_bistro-m-at-marriott-executive-apartments-sukhumvit-park-bangkok,inactive,ad,275,287,1.04363636,,,6.19,,28/02/2025,18/03/2025,875,,,,
album_hh_res_4405_open-at-doubletree-by-hilton-bangkok-ploenchit,inactive,ad,83059,134219,1.6159477,Website purchases,289,4664.24,16.13923875,01/03/2025,31/03/2025,4405,,,,
album_hh_res_4390_sm168-restaurant-bar-bangkok,inactive,ad,72137,118973,1.64926459,Website purchases,229,4143.79,18.09515284,01/03/2025,31/03/2025,4390,,,,
March more deal_1-31 Mar' 2025,inactive,ad,29920,52778,1.76397059,Website purchases,67,2256.81,33.68373134,01/03/2025,31/03/2025,,,,,
kol-fd_hh-ott_res_370_orchid-cafe-at-sheraton-grande-sukhumvit-a-luxury-collection-hotel-bangkok,inactive,ad,14626,22917,1.56686722,Website purchases,39,538.12,13.79794872,01/03/2025,31/03/2025,370,,,,
album_hh_res_grp_march-more-deal,inactive,ad,8784,14001,1.59392077,Website purchases,38,1135.25,29.875,01/03/2025,31/03/2025,~,,,,
album_hh_res_grp_come-4-pay-3-march-more-deal,inactive,ad,15927,22051,1.3845043,Website purchases,32,1180.43,36.8884375,01/03/2025,31/03/2025,,,,,
RAD is RAD at The Fig Lobby_5/3/2025,inactive,ad,1805,2697,1.49418283,Website purchases,2,190.29,95.145,01/03/2025,31/03/2025,,,,,
Place Bangkok_5-9 Mar' 2025,inactive,ad,1056,1276,1.20833333,Website purchases,1,65.1,65.1,01/03/2025,31/03/2025,,,,,
album_hh_res_370_orchid-cafe-at-sheraton-grande-sukhumvit-a-luxury-collection-hotel-bangkok,inactive,ad,5,5,1,,,0.08,,01/03/2025,31/03/2025,370,,,,
album_hh_res_1003_greenhouse-restaurant-avani-sukhumvit-bangkok,inactive,ad,98,110,1.12244898,,,3.71,,01/03/2025,31/03/2025,1003,,,,
album_hh_res_grp_luxury-dinner-2025,inactive,ad,5,7,1.4,,,0.26,,01/03/2025,31/03/2025,2025,,,,
album_hh_res_4263_feast-at-royal-orchid-sheraton-riverside-hotel-bangkok,inactive,ad,367,408,1.11171662,,,16.09,,01/03/2025,31/03/2025,4263,,,,
Feast,inactive,ad,124,152,1.22580645,,,9.9,,01/03/2025,31/03/2025,~,,,,
Manee Me More,inactive,ad,91,133,1.46153846,,,6.51,,01/03/2025,31/03/2025,~,,,,
Orchid Cafe at Sheraton,inactive,ad,359,363,1.01114206,,,5.68,,01/03/2025,31/03/2025,~,,,,
Chon Som at Courtyard,inactive,ad,49,56,1.14285714,,,3.77,,01/03/2025,31/03/2025,~,,,,
vdo_hh_res_grp_march-more-deals-promotion,inactive,ad,59,63,1.06779661,,,3.7,,01/03/2025,31/03/2025,~,,,,
Atelier at Hilton,inactive,ad,19,24,1.26315789,,,1.23,,01/03/2025,31/03/2025,~,,,,
AVA Brasserie,inactive,ad,30,30,1,,,1.13,,01/03/2025,31/03/2025,~,,,,
Savio at Chatrium,inactive,ad,26,27,1.03846154,,,1.07,,01/03/2025,31/03/2025,~,,,,
Deja Brew,inactive,ad,22,22,1,,,0.98,,01/03/2025,31/03/2025,~,,,,
album_hh_res_grp_famous-recommended-restaurants,inactive,ad,4,4,1,,,0.02,,01/03/2025,31/03/2025,~,,,,
3 weeks deal_Asok Pethouse - Adoptable Cat Café,inactive,ad,16,23,1.4375,,,0.42,,01/03/2025,31/03/2025,,,,,
album_hh_res_grp_3days-deal-march-more-deal,inactive,ad,4,4,1,,,0.09,,01/03/2025,31/03/2025,,,,,
album_hh_res_grp_march-more-deal-goldplatinum-tier,inactive,ad,16614,38273,2.30365956,Website purchases,115,2956.17,25.70582609,03/03/2025,31/03/2025,~,,,,
album_hh_res_grp_march-more-deal_voucher,inactive,ad,2178,4392,2.01652893,Website purchases,26,355.49,13.67269231,04/03/2025,09/03/2025,~,,,,
kol-fd_hh-pls_res_5196_stock-room-at-kimpton-maa-lai-bangkok - Copy,active,ad,346182,951086,2.74735833,Website purchases,"1,314",24388.26,18.56031963,07/03/2025,27/05/2026,5196,,,,
kol-fd_hh-moo_res_3596_deja-brew-lifestyle-cafe-at-centara-life-hotel-bangkok-phra-nakhon - Copy,active,ad,302851,825140,2.72457413,Website purchases,"1,204",28289.88,23.49657807,07/03/2025,27/05/2026,3596,,,,
album_hh_res_1826_57th-street-marriott-sukhumvit-57-bangkok - Copy,inactive,ad,249761,571866,2.28965291,Website purchases,"1,194",21011.77,17.59779732,07/03/2025,27/05/2026,1826,,,,
album_hh_res_5978_koko-japanese-omakase-bangkok - Copy,active,ad,202993,420296,2.07049504,Website purchases,"1,080",9074.56,8.40237037,07/03/2025,27/05/2026,5978,,,,
album_hh_res_2925_jw-cafe-at-jw-marriott-hotel-bangkok,inactive,ad,200128,379256,1.89506716,Website purchases,738,12440.61,16.85719512,07/03/2025,27/05/2026,2925,,,,
album_hh_res_370_orchid-cafe-at-sheraton-grande-sukhumvit-a-luxury-collection-hotel-bangkok - Copy,inactive,ad,287827,505582,1.7565482,Website purchases,606,14147.32,23.34541254,07/03/2025,27/05/2026,370,,,,
album_hh_res_grp_march-more-deal-sheraton-hotel - Copy,inactive,ad,159937,275816,1.72452903,Website purchases,602,11050.17,18.35576412,07/03/2025,27/05/2026,~,,,,
Orchid Cafe at Sheraton - Copy,inactive,ad,159729,322747,2.02059113,Website purchases,534,12065.51,22.59458801,07/03/2025,27/05/2025,~,,,,
album_hh_res_370_orchid-cafe-at-sheraton-grande-sukhumvit-a-luxury-collection-hotel-bangkok - Copy,inactive,ad,240320,394597,1.64196488,Website purchases,453,11752.38,25.94344371,07/03/2025,27/05/2025,370,,,,
album_hh_res_1768_the-map-mestyle-museum-hotel-bangkok,inactive,ad,62456,108845,1.74274689,Website purchases,381,5507.47,14.45530184,07/03/2025,27/05/2026,1768,,,,
Orchid Cafe at Sheraton - Copy,inactive,ad,135153,273828,2.02605935,Website purchases,374,10094.07,26.98949198,07/03/2025,27/05/2026,~,,,,
kol-fd_hh-pls_res_5196_stock-room-at-kimpton-maa-lai-bangkok - Copy,inactive,ad,114861,228873,1.99260846,Website purchases,272,6412.72,23.57617647,07/03/2025,27/05/2025,5196,,,,
kol-fd_hh-moo_res_3596_deja-brew-lifestyle-cafe-at-centara-life-hotel-bangkok-phra-nakhon - Copy,inactive,ad,107294,192081,1.79023058,Website purchases,192,6943.73,36.16526042,07/03/2025,27/05/2025,3596,,,,
AVA Brasserie - Copy,archived,ad,24657,56794,2.30336213,Website purchases,156,3472.42,22.25910256,07/03/2025,27/05/2026,~,,,,
kol-tv_hh-mcr_res_4263_feast-at-royal-orchid-sheraton-towers - Copy,inactive,ad,25863,46756,1.80783358,Website purchases,136,1833.09,13.47860294,07/03/2025,27/05/2026,4263,,,,
Orchid Cafe at Sheraton Grande Sukhumvit,inactive,ad,72018,93629,1.30007776,Website purchases,130,3165.68,24.35138462,07/03/2025,31/03/2025,~,,,,
album_hh_res_2925_jw-cafe-at-jw-marriott-hotel-bangkok,inactive,ad,55056,87304,1.58573089,Website purchases,122,3832.58,31.41459016,07/03/2025,27/05/2025,2925,,,,
kol-ls_hh-aj_res_4470_khaan-bangkok-michelin-guide - Copy,inactive,ad,49236,84369,1.71356325,Website purchases,119,1527.58,12.83680672,07/03/2025,27/05/2026,4470,,,,
SRC=KOL|COUNTRY=TH|RID=6016|RNAME=YOK_CHINESE_RESTAURANT__THE_EMERALD_HOTEL|TYPE=IMG|KOLID=HH-KJT|PLAT=FB|DATE=2025-11-28 - Copy,active,ad,36854,74510,2.02176155,Website purchases,108,1774.47,16.43027778,07/03/2025,27/05/2026,6016,,,,
Promotion_deal 1 week - Copy,inactive,ad,28699,52058,1.8139308,Website purchases,99,3012.47,30.4289899,07/03/2025,27/05/2026,,,,,
kol-fd_hh-hmrp_res_4263_feast-at-royal-orchid-sheraton-towers - Copy,inactive,ad,60753,95427,1.57073725,Website purchases,96,1838,19.14583333,07/03/2025,27/05/2026,4263,,,,
AVA Brasserie - Copy,inactive,ad,20695,40058,1.93563663,Website purchases,96,2510.99,26.15614583,07/03/2025,27/05/2025,~,,,,
Promotion_come 4 pay 3 - Copy,inactive,ad,48989,72602,1.48200616,Website purchases,96,2428,25.29166667,07/03/2025,27/05/2025,,,,,
kol-fd_hh-hmrp_res_5196_stock-room-at-kimpton-maa-lai-bangkok - Copy,inactive,ad,19476,34099,1.75082152,Website purchases,93,1468.18,15.78688172,07/03/2025,27/05/2026,5196,,,,
kol-ls_hh-aj_res_2382_khao-wireless-road-bangkok - Copy,inactive,ad,25883,42814,1.65413592,Website purchases,82,986.8,12.03414634,07/03/2025,27/05/2026,2382,,,,
Promotion_deal 1 week - Copy,inactive,ad,29331,51422,1.75316218,Website purchases,78,2918.78,37.42025641,07/03/2025,27/05/2025,,,,,
kol-fd_hh-gbm_res_5196_stock-room-at-kimpton-maa-lai-bangkok,inactive,ad,18097,23597,1.30391778,Website purchases,76,899.53,11.83592105,07/03/2025,27/05/2025,5196,,,,
kol-ls_hh-imtv_brn_837_copper-beyond-buffet - Copy,inactive,ad,17014,22159,1.30239803,Website purchases,71,577.14,8.12873239,07/03/2025,27/05/2026,837,,,,
kol-fd_hh-kjk_brn_837_copper-beyond-buffet - Copy,inactive,ad,23788,33121,1.39234068,Website purchases,68,781.1,11.48676471,07/03/2025,27/05/2026,837,,,,
kol-fd_hh-dmpk_brn_837_copper-beyond-buffet - Copy,inactive,ad,12435,16334,1.31355046,Website purchases,65,559.14,8.60215385,07/03/2025,27/05/2026,837,,,,
57th Street Marriott - Copy,archived,ad,16954,22016,1.29857261,Website purchases,61,1160.13,19.01852459,07/03/2025,27/05/2025,57,,,,
kol-tv_hh-ltmm_brn_837_copper-beyond-buffet-the-sense-pinklao-hungry-hub-bangkok - Copy,inactive,ad,16310,21751,1.33359902,Website purchases,59,623.63,10.57,07/03/2025,27/05/2026,837,,,,
Promotion_come 4 pay 3,inactive,ad,18882,28191,1.49300922,Website purchases,58,1407.92,24.27448276,07/03/2025,31/03/2025,,,,,
kol-fd_hh-gbm_res_5196_stock-room-at-kimpton-maa-lai-bangkok,inactive,ad,16593,21267,1.28168505,Website purchases,57,817.23,14.33736842,07/03/2025,27/05/2026,5196,,,,
album_hh_res_1768_the-map-mestyle-museum-hotel-bangkok,inactive,ad,15960,22939,1.4372807,Website purchases,52,1396.89,26.86326923,07/03/2025,27/05/2025,1768,,,,
57th Street Marriott - Copy,archived,ad,17314,25160,1.45315929,Website purchases,49,1343.36,27.4155102,07/03/2025,27/05/2026,57,,,,
Promotion_come 4 pay 3 - Copy,inactive,ad,34017,49388,1.4518623,Website purchases,48,1609.82,33.53791667,07/03/2025,27/05/2026,,,,,
Promotion_deal 1 week,inactive,ad,12280,16362,1.33241042,Website purchases,44,801.36,18.21272727,07/03/2025,31/03/2025,,,,,
album_hh_res_grp_deja-brew-lifestyle-cafe-at-centara-life-hotel-bangkok-phra-nakhon - Copy,inactive,ad,30699,38922,1.26785889,Website purchases,41,1169.71,28.5295122,07/03/2025,27/05/2025,~,,,,
