rank,name,restaurant_id,segment,has_marketing,priority_score,priority_tier,recommended_channel,growth_component,booking_demand,ga4_demand,internal_mkt_campaign_responsiveness,campaign_responsiveness,score_growth_norm,delta_growth_norm,booking_volume_norm,revenue_per_booking_norm,booking_consistency_norm,listing_pull_raw,months_cnt,listing_pull_norm,view_to_cart_rate,cart_to_purchase_rate,funnel_depth_raw,funnel_depth_norm,n_campaigns,avg_lift_per_day,avg_roi,n_positive_lift,n_negative_lift,channels_used,best_channel,lift_norm,roi_norm,avg_gmv_per_view,n_months_gmv,ga_campaign_responsiveness,risk_thin_ga_demand_data,risk_inverse_attribution_rs,risk_thin_gmv_data,risk_low_gmv_per_view,is_seasonal,booking_growth_rolling,booking_growth_mom_rolling,booking_growth_yoy_rolling,score_growth_mom,score_growth_yoy
1145,Tong Tong Haan Thanon Chan,4932,Needs Attention,False,29.78059277903765,"🟠 Activate — untapped, no prior spend",CRM,0.3082470051475563,0.2101424141010242,0.025433021839380957,0.0,0.2607296137339056,0.2621814040812626,0.3773454067469968,0.0,0.02145890203215044,0.6790158116379302,93.14285714285714,20.0,0.00533886452127373,0.019427402862985686,0.5789473684210527,0.35513938219782587,0.04552717915748818,,,,,,,,0.0,0.0,10.684346723654626,6.0,0.2607296137339056,False,False,False,False,False,0.0,0.0,,0.2139598677332171,
1146,Pebbles Bar and Grill Restaurant at Renaissance Pattaya Resort & Spa (Pattaya),4029,Needs Attention,False,29.776817779895303,"🟠 Activate — untapped, no prior spend",CRM,0.21973537772389956,0.26651489376551063,0.014458664533896392,0.0,0.5504291845493562,0.18153987490837814,0.2770286319471817,0.0,0.12003336366393691,0.7683496155544319,267.44827586206895,27.0,0.015329893832715961,0.06523981433728726,0.22134387351778656,0.15890224984558682,0.020370512423818335,,,,,,,,0.0,0.0,22.027242191440347,10.0,0.5504291845493562,False,True,False,False,False,-0.22222222222222224,-0.22222222222222224,,0.14815027694207591,
1147,Longpao Dimsum Hong Kong Hua Mak,5141,Needs Attention,False,29.704955241062343,"🟠 Activate — untapped, no prior spend",CRM,0.36043540802039037,0.15770391796995453,0.02659330569291656,0.0,0.2525035765379113,0.4520510753306683,0.22301190705497353,0.0,0.026387625113739762,0.4992921014527753,118.47058823529412,17.0,0.006790627212280499,0.029791459781529295,0.5833333333333334,0.3619165839126118,0.04639598417355262,,,,,,,,0.0,0.0,10.435053996923585,7.0,0.2525035765379113,False,False,False,False,False,0.38888888888888884,0.38888888888888884,,0.3689078888921883,
1148,Sports Bar by Topgolf Megacity,3870,Needs Attention,False,29.678736489355227,"🟠 Activate — untapped, no prior spend",CRM,0.3156728016503557,0.20922930060686235,0.02113218119597413,0.0,0.21244635193133046,0.31571333150380115,0.3156120068701875,0.0015015015015015015,0.025250227479526842,0.6701787725413456,292.51724137931035,27.0,0.01676682431445713,0.09784274431215371,0.26626506024096386,0.1988961338694398,0.025497538077491128,,,,,,,,0.0,0.0,8.988185998486957,13.0,0.21244635193133046,False,False,False,False,False,0.08333333333333333,0.08333333333333333,,0.2576459718296025,
1149,Laciana By The Sea,6575,Emerging Opportunities,False,29.677447592880103,"🟠 Activate — untapped, no prior spend",CRM,0.3816813469836715,0.1224039588285381,0.02558004631340896,0.0,0.3655221745350501,0.47202762363360123,0.24616193200877703,0.0015015015015015015,0.05178950561116166,0.3542216884819634,318.3333333333333,6.0,0.01824657940936344,0.03769633507853403,0.4027777777777778,0.25674520069808027,0.03291351321745448,,,,,,,,0.0,0.0,14.473657228525715,4.0,0.3655221745350501,False,False,False,False,False,0.4166666666666667,0.4166666666666667,,0.38521026414126197,
1150,Kizuna Shabu & Hand Roll,4924,Needs Attention,False,29.66509345407368,"🟠 Activate — untapped, no prior spend",CRM,0.2941242889242302,0.21671859474930652,0.02316776262389482,0.0,0.31759656652360513,0.2952324935961277,0.292461981916384,0.0045045045045045045,0.047675917500758266,0.6687133923242575,319.0833333333333,20.0,0.01828956873257922,0.042308696787673024,0.33641975308641975,0.21877533056692106,0.028045956515210416,,,,,,,,0.0,0.0,12.76048173202718,12.0,0.31759656652360513,False,False,False,False,False,-0.06666666666666665,-0.06666666666666665,,0.24093205809820353,
1151,Baba Beach Restaurant at Baba Beach Club (Hua Hin),2845,Needs Attention,False,29.660340047658114,"🟠 Activate — untapped, no prior spend",CRM,0.2611061406066316,0.2139849758290585,0.023705456876810166,0.0,0.6015736766809728,0.22476889643092765,0.3156120068701875,0.0,0.06316348195329087,0.6501197708102375,353.2758620689655,27.0,0.02024945362508703,0.04236212786725232,0.3248847926267281,0.21187572672293778,0.027161460128533297,,,,,,,,0.0,0.0,24.87505995861586,12.0,0.6015736766809728,False,False,False,False,False,-0.2222222222222222,-0.2222222222222222,,0.18342843009566223,
1152,Penthouse Bar + Grill at Park Hyatt Bangkok (level 34),5555,Established Players,True,29.633011587593373,🟡 Activate — review channel strategy,CRM,0.26406607904289603,0.2907236002076211,0.032628124684830555,0.0,0.25293276108726753,0.25130881711491837,0.2832019719348626,0.006006006006006006,0.21709129511677283,0.7439793642339562,782.6666666666666,14.0,0.044861747071398284,0.0317717206132879,0.24396782841823056,0.1590893852962535,0.020394502298262826,2.0,-0.1,,0.0,1.0,KOL,KOL,0.0,0.0,26.686804676886972,11.0,0.6323319027181689,False,False,False,False,False,-0.08333333333333333,-0.08333333333333333,,0.20508701392656084,
1153,Yoki Niku よきにく (Chonburi),6157,Needs Attention,False,29.631304759954002,"🟠 Activate — untapped, no prior spend",CRM,0.295494080862222,0.24044009470657884,0.00856739834087239,0.0,0.157653791130186,0.28208213019024503,0.3156120068701875,0.0015015015015015015,0.07074613284804368,0.7287188475052172,208.7,10.0,0.01196249567351042,0.022999520843315763,0.10416666666666667,0.07169980833732631,0.009191574303952269,,,,,,,,0.0,0.0,8.351075608108857,2.0,0.19706723891273248,False,True,True,False,False,0.0,0.0,,0.23020036633377047,
1154,Shining Taste,6871,Needs Attention,False,29.59697197719971,"🟠 Activate — untapped, no prior spend",CRM,0.295494080862222,0.22578153259578748,0.06571107981370874,0.0,0.10042918454935623,0.28208213019024503,0.3156120068701875,0.0075075075075075074,0.013876251137397634,0.7287188475052173,1906.5,4.0,0.10927885961450702,0.02006294256490952,0.27450980392156865,0.17273105937890498,0.02214330001291048,,,,,,,,0.0,0.0,5.650602076889085,2.0,0.1255364806866953,False,False,True,False,False,0.0,0.0,,0.23020036633377047,
