restaurant name,cluster,theme,x,y,cluster_confidence,review_count
Neon Pigeon,0,Bar & Alcoholic Drinks,4.446192,6.043616,1.0,1
Neta Grill Central Rama 2,0,Bar & Alcoholic Drinks,6.778428,-1.517447,1.0,1
Niku Machi,0,Bar & Alcoholic Drinks,6.0849223,-1.4786122,1.0,1
Ninja Izakaya,0,Bar & Alcoholic Drinks,6.680973,-0.029339837,1.0,1
OJI Omakase Sathorn,0,Bar & Alcoholic Drinks,9.192589,1.3226123,1.0,1
Oishi Buffet The Mall Bangkapi (New Concept),0,Bar & Alcoholic Drinks,6.263734,-0.29749733,1.0,1
Oishi Eaterium Central Korat (Nakhon Ratchasima),0,Bar & Alcoholic Drinks,6.4995036,-0.46547693,1.0,1
Oishi Eaterium Central Rama 9,0,Bar & Alcoholic Drinks,6.326367,-0.1816282,1.0,1
Oishi Eaterium Central Westgate,0,Bar & Alcoholic Drinks,6.612293,-0.02489723,1.0,1
Oishi Eaterium Fashion Island,0,Bar & Alcoholic Drinks,7.153245,0.78942674,1.0,1
Oishi Eaterium Future Park Rangsit,0,Bar & Alcoholic Drinks,5.1501064,-0.98396385,1.0,1
Oishi Grand Mega Bangna,0,Bar & Alcoholic Drinks,7.138045,0.8959605,1.0,1
Okinawa Restaurant Kinjo,0,Bar & Alcoholic Drinks,8.730147,-1.6793462,1.0,1
Okuna Sushi Jungceylon (Phuket),0,Bar & Alcoholic Drinks,8.937822,-1.0299956,1.0,1
Okura Cruise,0,Bar & Alcoholic Drinks,-1.9996394,2.5621836,1.0,1
Omoide Yakiniku,0,Bar & Alcoholic Drinks,5.905119,-2.0346303,1.0,1
Ramen Kaosoi and Japanese Buffet,0,Bar & Alcoholic Drinks,8.16133,-1.8934119,1.0,1
Rinji Japanese Dining Experience,0,Bar & Alcoholic Drinks,7.6787515,-2.3900323,1.0,1
SOS Shabu Bangchak,0,Bar & Alcoholic Drinks,7.184424,-2.3020344,1.0,1
SOS Shabu Bearing,0,Bar & Alcoholic Drinks,6.6680512,-2.3060322,1.0,1
SOS Shabu Big C Rama 4,0,Bar & Alcoholic Drinks,7.6275616,-1.4031166,1.0,1
SOSHI So/ Bangkok,0,Bar & Alcoholic Drinks,7.8573866,-0.51394856,1.0,1
Salmon Inari by My home,0,Bar & Alcoholic Drinks,5.9616737,-0.083565176,1.0,1
Sannin No Sushi,0,Bar & Alcoholic Drinks,8.992925,-0.8085258,1.0,1
Sensai Japanese Restaurant Muangthong,0,Bar & Alcoholic Drinks,6.5716643,-1.1859615,1.0,1
Serina Japanese Teppanyaki,0,Bar & Alcoholic Drinks,6.580497,-2.4718595,1.0,1
Shabu & Co.,0,Bar & Alcoholic Drinks,6.0164185,-0.9492924,1.0,1
Shabu 81,0,Bar & Alcoholic Drinks,7.2994585,-2.463549,1.0,1
Shabu Henmee Watcharapol,0,Bar & Alcoholic Drinks,8.441349,-0.55773884,1.0,1
Shabu Puko Muang Mai (Chonburi),0,Bar & Alcoholic Drinks,6.161819,-0.986012,1.0,1
Shabu Puko Sri Racha (Chonburi),0,Bar & Alcoholic Drinks,6.260782,-0.44669196,1.0,1
Shabu-Suki Izakaya,0,Bar & Alcoholic Drinks,7.0841274,-2.333649,1.0,1
Shabushi Central Changwattana,0,Bar & Alcoholic Drinks,7.6806927,1.3422478,1.0,1
Shabushi Central Ladprao,0,Bar & Alcoholic Drinks,8.2731,-1.2068837,1.0,1
Shabushi Central Rama 2,0,Bar & Alcoholic Drinks,5.7225747,-1.5156965,1.0,1
Shabushi Central Rama 3,0,Bar & Alcoholic Drinks,7.9509134,0.3693263,1.0,1
Shabushi Central Rama 9,0,Bar & Alcoholic Drinks,8.393078,0.10506027,1.0,1
Shabushi Central Westgate,0,Bar & Alcoholic Drinks,7.4402785,0.8977667,1.0,1
Shabushi Central Westville,0,Bar & Alcoholic Drinks,6.3207283,-1.6814592,1.0,1
Shabushi CentralWorld,0,Bar & Alcoholic Drinks,6.862222,0.5659899,1.0,1
Shabushi Fashion Island,0,Bar & Alcoholic Drinks,7.746539,-0.12871388,1.0,1
Shabushi Future Park Rangsit Floor 2,0,Bar & Alcoholic Drinks,7.2792244,0.59256834,1.0,1
Shabushi Mega Bangna,0,Bar & Alcoholic Drinks,8.710844,-1.8027266,1.0,1
Shabushi Robinson Ratchaphruek,0,Bar & Alcoholic Drinks,7.5201535,0.064747386,1.0,1
Shabushi Seacon Square,0,Bar & Alcoholic Drinks,7.2501125,-0.74934196,1.0,1
Shabushi Siam Center,0,Bar & Alcoholic Drinks,6.8232007,-0.7388287,1.0,1
Shabushi Terminal 21 Rama 3,0,Bar & Alcoholic Drinks,7.9784045,-0.67765236,1.0,1
Shabushi The Mall Bangkapi,0,Bar & Alcoholic Drinks,8.313608,-1.4045364,1.0,1
Shabushi The Mall Tha Phra,0,Bar & Alcoholic Drinks,6.224079,0.89476395,1.0,1
Shakariki432 Major Ratchayothin,0,Bar & Alcoholic Drinks,5.8809347,-3.1214805,1.0,1
Shakariki432 The Nine Center Rama 9,0,Bar & Alcoholic Drinks,7.383365,-1.6876311,1.0,1
Shibuya Shabu Ekkamai,0,Bar & Alcoholic Drinks,6.3719983,-3.04794,1.0,1
Shida Yakiniku & Izakaya Chaengwattana 14,0,Bar & Alcoholic Drinks,5.5452633,-2.9733756,1.0,1
Shida Yakiniku & Izakaya Prachanukoon,0,Bar & Alcoholic Drinks,6.2683954,-2.0187023,1.0,1
Shidai Kushiyaki,0,Bar & Alcoholic Drinks,6.6257486,-1.954741,1.0,1
Shiguma Japanese Restaurant Bangna,0,Bar & Alcoholic Drinks,7.0572906,-0.055628166,1.0,1
Shikisai Hotel Nikko Amata City Chonburi (Chonburi),0,Bar & Alcoholic Drinks,7.2330227,-0.9679654,1.0,1
Shintaro at Anantara Siam Hotel,0,Bar & Alcoholic Drinks,8.226826,-1.6379498,1.0,1
Shizen Machi Omakase,0,Bar & Alcoholic Drinks,5.007424,-2.1445048,1.0,1
Sho Japanese Dining,0,Bar & Alcoholic Drinks,5.730857,-2.955948,1.0,1
ShouSushi,0,Bar & Alcoholic Drinks,8.023727,-0.81491435,1.0,1
Signaturebkk Design Village Bangna,0,Bar & Alcoholic Drinks,6.722308,0.79341483,1.0,1
Signaturebkk Kanchanaphisek,0,Bar & Alcoholic Drinks,6.7836537,-0.248835,1.0,1
Sloth Sukiyaki Jas Urban Srinakarin,0,Bar & Alcoholic Drinks,7.3853903,-1.1597426,1.0,1
Suki Nihao Ratchaphruek,0,Bar & Alcoholic Drinks,8.038078,-2.5304735,1.0,1
Sumo 888 Izakaya Ari,0,Bar & Alcoholic Drinks,7.718115,0.6970281,1.0,1
Sushi Hiro Shabu Buffet The Crystal SB Ratchapruek,0,Bar & Alcoholic Drinks,8.19325,-0.022173848,1.0,1
Sushi Ken Ken,0,Bar & Alcoholic Drinks,6.8232045,-0.89551073,1.0,1
Sushi Koge Omakase,0,Bar & Alcoholic Drinks,8.262112,0.8901817,1.0,1
Sushi Niwa Bangkok Omakase,0,Bar & Alcoholic Drinks,9.344604,0.23075624,1.0,1
Sushi Olderchef Serithai,0,Bar & Alcoholic Drinks,9.065612,-0.2255033,1.0,1
Sushina Fortune Town,0,Bar & Alcoholic Drinks,6.7572026,-2.3289196,1.0,1
Sushina Rama 3,0,Bar & Alcoholic Drinks,5.0122247,-2.2972658,1.0,1
TANOKE,0,Bar & Alcoholic Drinks,7.7935233,-0.74699306,1.0,1
TORA Yakiniku x Café Crystal Design Center,0,Bar & Alcoholic Drinks,5.8211355,1.1382805,1.0,1
Tachinomiya Japanese Izakaya & Bar,0,Bar & Alcoholic Drinks,7.716192,-2.3382213,1.0,1
Tairyo Sushi - Ari,0,Bar & Alcoholic Drinks,7.448082,-2.2620819,1.0,1
Tairyo Sushi - Ladprao,0,Bar & Alcoholic Drinks,6.7388053,0.4668034,1.0,1
Tairyo Sushi - Market Village Rangsit,0,Bar & Alcoholic Drinks,6.2568693,-2.0184305,1.0,1
Tairyo Sushi - Seacon Square Srinakarin,0,Bar & Alcoholic Drinks,7.942947,-1.2261782,1.0,1
Taisho-Tei,0,Bar & Alcoholic Drinks,6.848775,-1.1422862,1.0,1
Tamade Sake Bar,0,Bar & Alcoholic Drinks,6.6790614,-1.5384789,1.0,1
