input_string,found,official_name,city,country,formatted_address,rating,website,error
Aha's Shabu & Grill ,True,Aha's shabu & grill อะฮ่า ชาบู & ปิ้งย่าง พัฒนาการ,,Thailand,"PM67+FP9, Phatthanakan, Prawet, Bangkok 10250, Thailand",4.8,https://www.facebook.com/profile.php?id=61573852109154,
Ekkaluck @ Madi Paidi Bangkok,True,Ekkaluck Bangkok,,Thailand,"22 Soi Sukhumvit 53, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",4.8,https://www.marriott.com/en-us/hotels/bkkbh-madi-paidi-bangkok-autograph-collection/dining/?scid=feed67b0-9a2f-4de1-8df6-114544116108,
Hogar bar,True,Hogar Bar,Amphoe Pak Kret,Thailand,"34/52 Tambon Khlong Klua, Amphoe Pak Kret, Chang Wat Nonthaburi 11120, Thailand",4.8,https://www.facebook.com/profile.php?id=100088682313614&mibextid=LQQJ4d,
Arab Street Turkish & Western Restaurant,True,arabstreet,Singapore,Singapore,"Blk 106 Clementi Street 12, #01-38, Singapore 120106",4.6,https://arabstreetturkishwesternrestaurant.shop/,
IKKI IZAKAYA,True,IKKI IZAKAYA,Singapore,Singapore,"9 N Buona Vista Dr, #01-06/07, Singapore 138588",4.1,https://m.facebook.com/IkkiIzakayaSG/,
Heaven's Lotus ,False,,,,,,,No results found
UGO Ristorante Italiano,True,UGO Ristorante Italiano,,Thailand,"603, 605 ถ. เจริญกรุง Khwaeng Talat Noi, Khet Samphanthawong, Krung Thep Maha Nakhon 10100, Thailand",4.6,https://www.ugoristorante.com/,
中国好味道 China Taste,True,中国好味道 China Taste,Singapore,Singapore,"133 Tyrwhitt Road, Jln Besar, Singapore 207554",4.4,https://sitelift.site/chinataste/,
Meridian Cruise,True,Meridian Cruise,,Thailand,"Meridian Cruise Co., Ltd 1343 Charoen Nakhon Rd, Khwaeng Bang Lamphu Lang, Khet Khlong San, Krung Thep Maha Nakhon 10600, Thailand",3.5,https://meridiancruise.co.th/,
Learksen Lennam,True,Learksen Lennam : เลือกเส้น เล่นน้ำ,,Thailand,"Central World ชั้น 1 โซน Hug Thai (close to Centara Grand and Bangkok Convention Centre, entrance Khwaeng Pathum Wan, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.9,,
Al Bahr Beach Bar @Marrakesh (Hua Hin),True,Al Bahr Beach Bar,Tambon Nong Kae,Thailand,"63 Phet Kasem Rd, Tambon Nong Kae, Amphoe Hua Hin, Chang Wat Prachuap Khiri Khan 77110, Thailand",4.0,,
